	direccion	latitude	longitude
3	Avenida Juan B Justo 7500, Villa Luro	-34.6342582	-58.5049889
4	Anchorena 1200, Barrio Norte	-34.5918203	-58.4033141
5	Nicasio Oroño 400 4A, Caballito	-34.6081129	-58.4589336
6	Avenida Crámer 1900, Belgrano	-34.5669039	-58.4596619
7	Larrea 400, Once	-34.6048639	-58.4022669
8	Jose Hernandez 2200, Belgrano	-34.5647709	-58.4513798
9	Zapata 300, Belgrano	-31.6224597	-60.6874634
0	Guayaquil 600, Caballito	-34.6211099	-58.4367349
1	Olof Palme 4400, Saavedra	-34.5514339	-58.4893385
2	Artigas, Jose G. De, Gral. 2800, Villa del Parque	-34.6003087	-58.48330730000001
3	Malabia 1200, Palermo	-34.5934929	-58.4314739
4	Dumont, Santos 2700, Colegiales	-34.5799186	-58.4459299
5	Arenal, Concepcion 2400, Belgrano	-34.5733996	-58.4363031
6	Cabildo, Avda. 400, Belgrano	-38.9714557	-68.0550264
7	Av Triunvirato 3000, Villa Ortuzar	-34.5847639	-58.4647329
8	Francisco Acuña De Figueroa 100, Almagro	-34.598236	-58.4218557
9	Ceretti 2100, Villa Urquiza	-34.5813269	-58.4906689
0	Avenida Rivadavia 7000, Flores	-34.6293548	-58.4639391
1	Juncal 800, Recoleta	-34.593942	-58.3921835
2	Franco 3300, Villa Devoto	-34.5847599	-58.5115969
3	Peña 2800, Barrio Norte	-34.5874779	-58.4029349
4	Suipacha 900, Barrio Norte	-34.591472	-58.3801607
5	Rodriguez Peña 1300, Recoleta	-34.5940402	-58.3922439
6	Parera 0, Barrio Norte	-34.5915013	-58.3859523
7	Peña 2400, Barrio Norte	-34.5901029	-58.3985259
8	Arenales 1400, Barrio Norte	-34.5947279	-58.3872312
9	Av. Honorio Pueyrredon 1000, Caballito	-34.6090327	-58.4445564
0	Estero Bellaco Entre Montiel Y Felix Origone, Liniers	0	0
1	Artigas, Manuel De Entre Cosquin Y Cañada De Gomez, Mataderos	0	0
2	Ramon Falcon Entre Olivera, Av. Y Rio Grande, Mataderos	0	0
3	Ercilla Entre Oliden Y Pieres, Liniers	0	0
4	Andalgala Entre Paso Y Patron, Liniers	0	0
5	Avda. Rivadavia, Entre Nazca Y Quirno, Flores	0	0
6	Soldado De La Independencia 500, Las Cañitas	-34.5692273	-58.4315677
7	Carhue Entre Cossio Y Patron, Liniers	-37.1795093	-62.7601738
8	Molina Entre Av Emilio Castro Y Ercilla, Mataderos	0	0
9	Avenida Saénz 500, Pompeya	-34.6451629	-58.4160359
0	Arenales 1100, Recoleta	-34.5949028	-58.3920671
1	Thompson 400, Caballito	-34.6262969	-58.4391235
2	Manuel José Baez 600, Palermo	38.1156879	13.3612671
3	Aguero 700, Almagro	-34.6020639	-58.4112524
4	Avenida Del Libertador 4400, Las Cañitas	-34.5676692	-58.4301894
5	Ugarte 2500, Belgrano	-34.5562068	-58.4617992
6	Ciudad De La Paz 2500, Belgrano	-34.5590641	-58.4608703
7	Carlos Pellegrini 1200, Retiro	-34.5943097	-58.3815188
8	Carlos Antonio López 3400, Villa Devoto	-34.5927749	-58.5148359
